stop_name,Period,SWT,AWT,EWT,direction,succession,stop_id,distance,lat,lng
ABBAYE,07:00-09:00,194.4963195828861,252.50721543218967,58.01089584930361,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,10:00-16:00,225.6600852272728,282.1459574468085,56.48587221953576,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,16:00-19:00,181.5428571428572,189.4435328185328,7.900675675675671,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,20:00-23:00,444.8466257668712,476.57750173215874,31.730875965287566,1,6,5409,2176.0,50.818926,4.370739
AUDERGHEM-SHOP.,07:00-09:00,210.57337883959045,217.8690264274956,7.295647587905108,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,10:00-16:00,222.1367521367521,256.3191610515327,34.18240891478058,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,16:00-19:00,191.78280542986425,214.2589161001956,22.47611067033131,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,20:00-23:00,474.7728337236534,494.67580043213513,19.90296670848176,1,24,5269,9846.0,50.816286,4.426179
BAILLI,07:00-09:00,192.07421245421244,209.57144988066827,17.497237426455825,1,4,5404,1167.0,50.826837,4.364068
BAILLI,10:00-16:00,225.895468735219,263.79975996159385,37.90429122637485,1,4,5404,1167.0,50.826837,4.364068
BAILLI,16:00-19:00,180.3571428571429,187.86760873922628,7.510465882083423,1,4,5404,1167.0,50.826837,4.364068
BAILLI,20:00-23:00,444.8466257668712,470.2963747414048,25.44974897453364,1,4,5404,1167.0,50.826837,4.364068
BOITSFORT GARE,07:00-09:00,213.7255574614065,217.01391519743552,3.2883577360290133,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,10:00-16:00,222.06703910614524,260.74231617474544,38.6752770686002,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,16:00-19:00,188.3428571428572,202.717705686926,14.374848544068785,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,20:00-23:00,459.11538461538464,464.5961977563784,5.480813140993803,1,17,5420,6718.0,50.795447,4.407814
BOONDAEL GARE,07:00-09:00,194.1818181818182,214.1339686967302,19.95215051491201,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,10:00-16:00,222.30769230769232,281.034165602686,58.72647329499364,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,16:00-19:00,187.93103448275863,211.36368832158507,23.43265383882644,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,20:00-23:00,460.4191616766467,498.36675691355634,37.94759523690965,1,14,5416,5383.0,50.801169,4.393449
BRESIL,07:00-09:00,194.1818181818182,211.8824483775811,17.700630195762926,1,13,5415,5122.0,50.802634,4.390584
BRESIL,10:00-16:00,222.30769230769232,269.46472146032346,47.15702915263114,1,13,5415,5122.0,50.802634,4.390584
BRESIL,16:00-19:00,187.93103448275863,210.76944391362508,22.83840943086645,1,13,5415,5122.0,50.802634,4.390584
BRESIL,20:00-23:00,460.4191616766467,494.59795957837736,34.17879790173066,1,13,5415,5122.0,50.802634,4.390584
BUYL,07:00-09:00,191.7391304347826,229.846921322691,38.10779088790841,1,9,2397,3290.0,50.817442,4.380672
BUYL,10:00-16:00,221.4857142857143,260.8160204475309,39.330306161816594,1,9,2397,3290.0,50.817442,4.380672
BUYL,16:00-19:00,185.2325581395349,203.4757085020243,18.243150362489416,1,9,2397,3290.0,50.817442,4.380672
BUYL,20:00-23:00,462.8571428571428,480.4486823855756,17.591539528432747,1,9,2397,3290.0,50.817442,4.380672
CAMBRE-ETOILE,07:00-09:00,201.9642857142857,215.5208941465663,13.55660843228057,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,10:00-16:00,224.57142857142856,261.8549034601415,37.2834748887129,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,16:00-19:00,185.0561797752809,200.01794347341016,14.961763698129287,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,20:00-23:00,444.3243243243243,488.98792477025006,44.66360044592574,1,8,5258,2940.0,50.816489,4.377479
COCCINELLES,07:00-09:00,194.1692307692308,238.4135110572554,44.24428028802461,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,10:00-16:00,222.30769230769232,263.4190159383526,41.11132363066025,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,16:00-19:00,187.99090038314176,199.18322317262832,11.192322789486552,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,20:00-23:00,459.5010005002501,481.59669605658365,22.09569555633351,1,16,5419,6274.0,50.796294,4.401659
DEFACQZ,07:00-09:00,191.716970052848,221.1830318690784,29.46606181623045,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,10:00-16:00,225.83497350492053,251.77738224338725,25.942408738466725,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,16:00-19:00,180.3448275862069,192.87064820157724,12.52582061537035,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,20:00-23:00,444.8466257668712,474.018998527246,29.1723727603748,1,3,5406,933.0,50.828607,4.36228
DELLEUR,07:00-09:00,214.417950913242,232.2284927249612,17.810541811719133,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,10:00-16:00,222.06703910614524,262.6830126263803,40.61597352023503,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,16:00-19:00,188.44285714285715,200.99691629955947,12.554059156702325,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,20:00-23:00,458.7075812274368,490.7767414169478,32.06916018951097,1,18,5421,7127.0,50.795733,4.413573
EMPAIN,07:00-09:00,214.6797603195739,226.655753968254,11.975993648680088,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,10:00-16:00,222.1367521367521,265.9177185600748,43.78096642332264,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,16:00-19:00,191.66231288523628,198.74369333858888,7.081380453352608,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,20:00-23:00,472.9917824300528,478.40973257779103,5.417950147738225,1,26,5271,10924.0,50.824976,4.431867
FAUCONNERIE,07:00-09:00,212.67857142857144,224.82482460068667,12.146253172115252,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,10:00-16:00,222.4110320284697,255.7715690017179,33.360536973248145,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,16:00-19:00,190.9090909090909,208.3757330354649,17.46664212637404,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,20:00-23:00,459.1390728476821,470.1914702581369,11.052397410454772,1,20,5423,8033.0,50.801015,4.422699
HERRMANN-DEBROUX,07:00-09:00,210.0,220.71399535423924,10.713995354239245,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,10:00-16:00,222.53481894150417,252.3816779533484,29.8468590118442,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,16:00-19:00,192.0338983050848,219.9004280662572,27.866529761172472,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,20:00-23:00,459.1390728476821,501.1134508651649,41.97437801748271,1,23,5426,9335.0,50.811881,4.42782
HIPPOD. BOITSFORT,07:00-09:00,194.42564102564103,224.20378182913967,29.778140803498644,1,15,5418,5971.0,50.796898,4.397475
