 service_id | route_short_name | stop_name |  trip_headsign   | start_next_day | interval_start | end_next_day | interval_end | headway  | day 
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 13:54:09       |            0 | 14:04:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:04:09       |            0 | 14:14:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:14:09       |            0 | 14:24:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:24:09       |            0 | 14:34:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:34:09       |            0 | 14:44:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:44:09       |            0 | 14:54:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 14:54:09       |            0 | 15:04:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:04:09       |            0 | 15:15:09     | 00:11:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:15:09       |            0 | 15:25:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:25:09       |            0 | 15:35:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:35:09       |            0 | 15:45:09     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:45:09       |            0 | 15:54:09     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 15:54:09       |            0 | 16:03:09     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:03:09       |            0 | 16:11:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:11:09       |            0 | 16:19:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:19:09       |            0 | 16:27:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:27:09       |            0 | 16:35:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:35:09       |            0 | 16:43:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:43:09       |            0 | 16:51:09     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 16:51:09       |            0 | 17:00:09     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:00:09       |            0 | 17:08:25     | 00:08:16 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:08:25       |            0 | 17:16:25     | 00:08:00 |   0
