LIGEN,VARIANT,FROM,TO,DISTANCE
005m,2,8211,8201,659.1704700301698
005m,2,8201,8071,751.5848300079851
005m,2,8071,8061,1238.6974999689492
005m,2,8061,8051,288.68535547359534
005m,2,8051,8041,591.3137559799379
005m,2,8041,8031,487.9314070714008
005m,2,8031,8021,340.1934037415367
005m,2,8021,8011,601.0596689617696
005m,2,8011,8271,423.38328836638175
005m,2,8271,8281,659.8982256697054
005m,2,8281,8291,639.4284801825361
005m,2,8291,8741,901.3664077608955
005m,2,8741,8731,525.4926134575671
005m,2,8731,8721,565.9748306100955
005m,2,8721,8711,651.16302339924
005m,2,8711,8701,737.1831389348044
005m,2,8701,8691,678.0967843268954
005m,2,8691,8681,575.9265398445023
005m,2,8681,8671,514.4371430430183
005m,2,8671,8661,645.4879472306529
005m,2,8661,8651,619.7509509373995
005m,2,8651,8641,1049.561666158961
006m,1,8834,8824,564.2955674842938
006m,1,8824,8814,1061.0985420548968
006m,1,8814,8804,564.335852497753
006m,1,8804,8794,835.8483704784949
006m,1,8794,8784,729.8803417970753
006m,1,8784,8774,718.1164502144793
006m,1,8774,8764,750.3812356348881
006m,1,8764,8754,795.4949675760163
006m,1,8754,8744,417.6101305420789
006m,1,8744,8382,511.5195503404793
006m,1,8382,8372,535.1116860036163
006m,1,8372,8362,678.8984817956461
006m,1,8362,8352,701.9955338885129
006m,1,8352,8342,455.5424346403961
006m,1,8342,8332,424.4442847835471
006m,1,8332,8322,436.75389324407115
006m,1,8322,8312,600.8220999270343
006m,1,8312,8302,470.2938689551411
006m,1,8302,8402,536.5988066643167
006m,1,8402,8412,493.0171451950737
006m,1,8412,8422,594.1760921782679
006m,1,8422,8432,519.8612779463765
006m,1,8432,8442,538.5766206886437
006m,1,8442,8462,898.8887784331364
006m,1,8462,8472,681.6939688593302
006m,2,8471,8461,648.7414996812174
006m,2,8461,8441,900.8517396048699
006m,2,8441,8431,527.2179176106724
006m,2,8431,8421,531.0494850186087
006m,2,8421,8411,589.7977738537793
006m,2,8411,8401,487.1943859461189
006m,2,8401,8301,541.6236987645589
006m,2,8301,8311,479.82865093531564
006m,2,8311,8321,593.0289068985285
006m,2,8321,8331,452.7089336670733
006m,2,8331,8341,415.2348322267544
006m,2,8341,8351,432.65457576734025
006m,2,8351,8361,707.5427322431424
006m,2,8361,8371,690.202844344527
006m,2,8371,8381,516.4325354652683
006m,2,8381,8743,508.6021888221567
006m,2,8743,8753,445.93638982359334
006m,2,8753,8763,832.8187564773925
006m,2,8763,8773,687.8649054791767
006m,2,8773,8783,718.8344630089559
006m,2,8783,8793,725.0005114037958
006m,2,8793,8803,831.0949654861979
006m,2,8803,8813,563.8574055293302
006m,2,8813,8823,1063.6552932340674
006m,2,8823,8834,554.6583936382121
007t,1,6421F,5221F,379.24607246874433
007t,1,5221F,9963F,82.9876248457445
007t,1,9963F,5222F,82.02403019896644
007t,1,5222F,5253,221.33788069872503
007t,1,5253,5254,339.5407727447247
007t,1,5254,5255F,328.3373081169275
007t,1,5255F,5256F,433.0384359536879
007t,1,5256F,1048F,233.37297413248712
007t,1,1048F,5258,415.9907816995792
007t,1,5258,3480,353.878592838184
007t,1,3480,5264F,235.17542002449136
007t,1,5264F,5261,508.24567229392414
007t,1,5261,5265F,419.79546519446785
007t,1,5265F,5267,332.3269244910175
007t,1,5267,5352,487.4562711417948
007t,1,5352,0906,499.7176417831197
007t,1,0906,0806,452.4066962310235
007t,1,0806,0816,736.6771380809269
007t,1,0816,0826,652.137485515881
007t,1,0826,2243F,662.0371721475558
007t,1,2243F,5354H,253.89853923642931
007t,1,5354H,5355,639.3102521788587
007t,1,5355,5356,481.88124634379346
007t,1,5356,5357,369.83703452494774
007t,1,5357,5350G,256.14064885536754
007t,1,5350G,5359,504.49358719037446
007t,1,5359,6456F,191.78083937165138
007t,1,6456F,5759F,810.946498708041
007t,1,5759F,5770F,208.71729152890657
007t,1,5770F,5771,974.57051880996
007t,1,5771,5772,559.7625767528734
007t,1,5772,5773,479.2316936391053
007t,1,5773,5806,477.3777873615054
007t,1,5806,2635F,1173.0255866122243
007t,1,2635F,9051F,855.6820340485865
007t,2,9056F,2636F,916.945756165554
007t,2,2636F,5700G,1098.7421385853327
007t,2,5700G,5704F,553.0544168940685
007t,2,5704F,5705,389.19611783749315
007t,2,5705,5706,554.6368299584742
007t,2,5706,5707,891.0203129492197
007t,2,5707,5758F,292.4006611840259
007t,2,5758F,6457F,814.6093449786267
007t,2,6457F,5303,216.95042507315247
007t,2,5303,5317G,545.4413854880722
007t,2,5317G,5305G,287.49332573466563
007t,2,5305G,5306G,361.3060082667953
007t,2,5306G,5307G,493.40724594581025
007t,2,5307G,5308F,525.5134922219713
007t,2,5308F,2246F,277.1626104231973
007t,2,2246F,0821,659.088665801888
007t,2,0821,0811,648.9970315400515
007t,2,0811,0801,734.6354318657523
007t,2,0801,0901,484.48192064292743
007t,2,0901,5312,458.2758116654022
007t,2,5312,5311,485.80531404078465
007t,2,5311,5266F,332.8773497270522
007t,2,5266F,5205,420.7795684357152
007t,2,5205,5200F,580.1973017114742
007t,2,5200F,3481,336.285051144976
007t,2,3481,5208,218.6816302042498
007t,2,5208,1049F,381.0887914014402
007t,2,1049F,5210,236.71903979836134
007t,2,5210,5211,424.13401701032126
007t,2,5211,5212,402.8098391240146
007t,2,5212,5213,342.973956715241
007t,2,5213,5220F,148.75219650940744
007t,2,5220F,9969F,73.79252934064061
007t,2,9969F,5219F,71.34074848475211
007t,2,5219F,6421F,347.43133439092526
008t,1,6314,5405,351.1452141250142
008t,1,5405,5406,582.1967503608523
008t,1,5406,5404,233.84076602448602
008t,1,5404,5408,512.3000674768525
008t,1,5408,5409,496.4857896825358
008t,1,5409,1047F,339.7527309620773
008t,1,1047F,5258,423.8404784757395
008t,1,5258,2397F,350.50740369698997
008t,1,2397F,5407F,461.1014042092852
008t,1,5407F,5413F,420.13228038102716
008t,1,5413F,5414F,479.623221895552
008t,1,5414F,5415F,471.36293699683756
008t,1,5415F,5416F,260.85605407616004
008t,1,5416F,5418,588.3362650758099
008t,1,5418,5419,302.5229854128129
008t,1,5419,5420F,444.0102237592364
008t,1,5420F,5421,409.0263283219456
008t,1,5421,5422,463.34586230975947
008t,1,5422,5423,443.0293782358567
008t,1,5423,2077,540.2568327716635
008t,1,2077,2086,454.0592962337014
008t,1,2086,5426,307.5066945593044
008t,1,5426,5269F,511.11509554675104
008t,1,5269F,5270F,404.1335463989253
008t,1,5270F,5271F,673.8640548245185
008t,1,5271F,5272F,878.326585601777
008t,1,5272F,5223F,573.1563850750281
008t,1,5223F,5225F,401.37247965841743
008t,1,5225F,5227F,465.6564090797656
008t,1,5227F,5229F,602.0398945074212
008t,2,5230F,5228F,591.4763674753298
008t,2,5228F,5226F,556.7104455544089
008t,2,5226F,5224F,305.28290423831527
008t,2,5224F,5281G,651.9888471797008
008t,2,5281G,5282F,884.4674648074429
008t,2,5282F,5283F,579.9272922771647
008t,2,5283F,5284F,422.12320937842196
008t,2,5284F,5427,504.11566541245156
008t,2,5427,2014,372.8916830277749
008t,2,2014,2026,390.76989007874545
008t,2,2026,5430,527.0785237210675
008t,2,5430,5452,444.87481221422604
008t,2,5452,5453,472.7061698484522
008t,2,5453,5454F,412.1664346673024
008t,2,5454F,5455,501.066945097984
008t,2,5455,5456,227.8171836131114
008t,2,5456,5451F,599.7240375635729
008t,2,5451F,5459F,245.81640858555693
008t,2,5459F,5460F,470.82097993780735
008t,2,5460F,5461F,486.95531272522385
008t,2,5461F,5462F,336.30650257510206
008t,2,5462F,5468,212.39454415205182
008t,2,5468,3481,517.8662045002093
008t,2,3481,5208,218.6816302042498
008t,2,5208,1046G,376.7271877080293
008t,2,1046G,5466,399.3726026304048
008t,2,5466,5467,541.7487131516009
008t,2,5467,5475,467.9383892939077
008t,2,5475,5469,236.6055888501396
008t,2,5469,5470,500.7933308511019
008t,2,5470,6361,353.7985016812054
009t,1,0470F,6864F,566.4071059991637
009t,1,6864F,6865F,351.7979898012982
009t,1,6865F,1675F,333.69726186577975
009t,1,1675F,1677F,397.52045263607715
009t,1,1677F,1679F,456.981754066501
009t,1,1679F,1681F,660.2191311374477
009t,1,1681F,1683F,386.8937636051646
009t,1,1683F,1685F,412.17001922469535
009t,1,1685F,1687F,617.079599879246
009t,2,1686F,1684F,536.9064234677323
009t,2,1684F,1682F,390.5402041603106
009t,2,1682F,1680F,392.4846029531767
009t,2,1680F,1678F,656.8143127919463
009t,2,1678F,1676F,459.7158005139588
009t,2,1676F,1674F,399.14407526386003
009t,2,1674F,1014F,330.63841723411497
009t,2,1014F,6805F,355.1448841827714
009t,2,6805F,0473F,560.8152404491448
012b,1,9600B,3017,4688.5115139683385
012b,1,3017,5048,1448.3501514099225
012b,1,5048,2695,1699.0307721433646
012b,1,2695,2250,1724.343180651289
012b,1,2250,1270B,1754.03393373598
012b,1,1270B,1162C,1449.2140988563024
012b,1,1162C,6432,534.4222835643523
012b,1,6432,1780,216.93882726697484
012b,2,1780,6433,415.4409479439703
012b,2,6433,1131B,548.5675958499335
012b,2,1131B,1418B,1262.1550041512796
012b,2,1418B,2247,1730.6494307199023
012b,2,2247,4556,1461.1130398249875
012b,2,4556,5044,1846.1065332816424
012b,2,5044,3018,1189.5652583249066
012b,2,3018,9600B,4634.701384619695
013b,1,4111,1179,323.7404878287018
013b,1,1179,1180,214.28645760579627
013b,1,1180,1183,522.5786055396944
013b,1,1183,4152,362.3911600752633
013b,1,4152,1303,479.5395599710373
013b,1,1303,2422,451.0332063556766
013b,1,2422,4158,448.6151177229185
013b,1,4158,4163,273.5832989735891
013b,1,4163,1710,287.9134128292703
013b,1,1710,9103,370.38917554502086
013b,1,9103,1065,670.5352661763263
013b,1,1065,1066,227.29041148757278
013b,1,1066,1067,192.0759062722709
013b,1,1067,1711,306.31977697399543
013b,1,1711,1599,378.71770513323554
013b,1,1599,2850,435.30974496444014
013b,1,2850,1328,486.1340851808518
013b,1,1328,1721,471.57780625362466
013b,1,1721,1722,413.8623194266811
013b,1,1722,1727,224.26711560618423
013b,2,1732,1743,324.40054358587236
013b,2,1743,1744,370.0230197793213
013b,2,1744,1334,623.1160792759048
013b,2,1334,2849,446.43310260304565
013b,2,2849,1606,296.5528644516721
013b,2,1606,1746,501.2679867749189
013b,2,1746,1008,221.5231729128327
013b,2,1008,1009,190.9560240539331
013b,2,1009,1010,313.390684126879
013b,2,1010,1747,502.6367382728881
013b,2,1747,1748,441.8772153339887
013b,2,1748,4112,418.08056528926227
013b,2,4112,4105,264.0550146855394
013b,2,4105,2423,421.81760701179337
013b,2,2423,2519,390.63821040861876
013b,2,2519,4116,648.1616345896282
013b,2,4116,1112,310.56209090867014
013b,2,1112,1114B,486.88496959485747
013b,2,1114B,1115,215.58291864509738
013b,2,1115,4111,722.242110936133
014b,1,4264B,6481,547.589242943048
014b,1,6481,4228,244.68125937964805
014b,1,4228,4205B,372.3081468121783
014b,1,4205B,4223,414.72671492722907
014b,1,4223,1328,590.7923913532425
014b,1,1328,1721,471.5778062536224
014b,1,1721,1722,413.8623194266793
014b,1,1722,1368,588.6280992693928
014b,1,1368,1768,286.8063892253613
014b,1,1768,2801,483.72496970313205
014b,1,2801,2803,257.65984016582024
014b,1,2803,6800,390.0962620430737
014b,1,6800,2584,416.9846625576147
014b,1,2584,2586,299.4220118963258
014b,1,2586,1775,424.75602582234933
014b,1,1775,1782,295.99354986170147
014b,1,1782,5009,582.9362097733438
014b,1,5009,5011,257.95585959018445
014b,1,5011,1019,455.69663100671187
014b,1,1019,1351,431.1744016106204
014b,1,1351,1349,279.3294421131177
014b,1,1349,1016,356.1736904925474
014b,1,1016,1024,350.04283801247584
014b,1,1024,1083,265.73342233562107
014b,2,1082,1052,208.35642400019682
014b,2,1052,1051,332.7176278364424
014b,2,1051,1348,444.4269673433969
014b,2,1348,1350,241.67929604436813
014b,2,1350,1056,453.272487229774
014b,2,1056,5074,416.64642996024304
014b,2,5074,5076,262.1572320183841
014b,2,5076,1766,544.8778966428404
014b,2,1766,1767,251.40447883314437
014b,2,1767,2515B,548.1724997706506
014b,2,2515B,2498,251.8189068712045
014b,2,2498,6869,406.89401899209633
014b,2,6869,2871,331.81927154256664
014b,2,2871,2873,273.6444799714709
014b,2,2873,1755,630.6472224678864
014b,2,1755,1103,396.4932179529551
014b,2,1103,1743,378.5645824663543
014b,2,1743,1744,370.02301977931984
014b,2,1744,4071,551.6911140267393
014b,2,4071,4072B,488.79421659550826
014b,2,4072B,4261,428.9712433505556
014b,2,4261,4268,327.2232602023487
014b,2,4268,6482,232.28742302078717
014b,2,6482,4265,490.71249514344163
017b,1,4297,4298,491.66066552779455
017b,1,4298,4299,408.95691393262155
017b,1,4299,4310,347.7205618430394
017b,1,4310,4311,557.5795904822141
017b,1,4311,1453,369.3033855002202
017b,1,1453,4313,199.76433318430054
017b,1,4313,4347,372.50100945477925
017b,1,4347,4349,431.5980342110065
017b,1,4349,4342,278.1137933161731
017b,1,4342,4289,255.6391408948507
017b,1,4289,4288,242.8501029863496
017b,1,4288,4290,192.47212084498642
017b,1,4290,1472,890.5505448144359
017b,1,1472,4319,211.07287369572077
017b,1,4319,9059,294.8255605288705
017b,2,9059,4287,299.9843287049318
017b,2,4287,4292,232.78552196349654
017b,2,4292,4341,400.49555799451684
017b,2,4341,4351,320.1262292141837
017b,2,4351,4348,476.6642579323434
017b,2,4348,4355,423.00309832715266
017b,2,4355,1455,280.7103338009747
017b,2,1455,4357,328.9728865846969
017b,2,4357,4358,582.3596208901522
017b,2,4358,4293,307.19907879839775
017b,2,4293,4294,222.39951225934874
017b,2,4294,4295,416.98701525294246
017b,2,4295,4296,385.73621259042557
017b,2,4296,4297,552.015611177233
019t,1,5104F,5103,454.6597399662059
019t,1,5103,5102F,391.4737102112244
019t,1,5102F,5105F,406.0182572701061
019t,1,5105F,1306F,346.14644938594756
019t,1,1306F,1094F,494.84317074894716
019t,1,1094F,1064,481.0516045044078
019t,1,1064,1111,371.4125877444926
019t,1,1111,5108,320.45954890994653
019t,1,5108,5109,507.39534216834636
019t,1,5109,0471,326.245730630616
019t,1,0471,6864F,549.0882915845423
019t,1,6864F,6865F,351.79798980129726
019t,1,6865F,6866F,355.10189891401114
019t,1,6866F,6867F,356.3128114514484
019t,1,6867F,6869G,483.02122994479396
019t,1,6869G,2805F,260.48227297496123
019t,1,2805F,5081F,428.64800424686746
019t,1,5081F,5082,342.1505359040975
019t,1,5082,4958F,307.8928677796648
019t,1,4958F,2636F,596.4280065876201
019t,1,2636F,5086F,945.5672265788935
019t,2,5001F,2637F,1049.0414807779466
019t,2,2637F,4955F,491.30250671508793
019t,2,4955F,5003,378.8509287924046
019t,2,5003,5010,292.52707382782137
019t,2,5010,2869,303.86969579298693
019t,2,2869,6800F,361.3854628842769
019t,2,6800F,6803F,436.965310513247
019t,2,6803F,6804F,423.2100671310045
019t,2,6804F,1014F,356.27322672333867
019t,2,1014F,6805F,355.1448841827714
019t,2,6805F,0472,524.8388219188373
019t,2,0472,5165,371.6335776030219
019t,2,5165,5166,463.03470145535175
019t,2,5166,5172F,427.26117068506574
019t,2,5172F,1199F,364.35902824761706
019t,2,1199F,1236F,375.38282257635365
019t,2,1236F,1307F,499.3262710748386
019t,2,1307F,5168F,293.22280130734634
019t,2,5168F,5174F,461.3214010997972
019t,2,5174F,5170,391.7151369843268
019t,2,5170,5169F,468.0383276800203
020b,1,1142,1102,423.5034310930128
020b,1,1102,4598,256.81379790300736
020b,1,4598,1095,420.5807246591254
020b,1,1095,1105,287.1113508350477
020b,1,1105,1306,556.0659798457234
020b,1,1306,1118B,435.78166233276215
020b,1,1118B,1119,447.67485918255625
020b,1,1119,1096,495.68373760129816
020b,1,1096,1097,411.1937675107638
020b,1,1097,2073,545.3438708617932
020b,1,2073,2081,414.27023894155445
020b,1,2081,4111,488.2120011859988
020b,1,4111,1792,341.45558611234355
020b,1,1792,5013B,421.6609088557507
020b,1,5013B,1351,899.237426778518
020b,1,1351,1349,279.3294421131186
020b,1,1349,1016,356.1736904925456
020b,1,1016,1024,350.0428380124822
020b,1,1024,1083,265.73586860191335
020b,1,1083,1900,679.1065773224118
020b,2,1900,1030,475.08561323795783
020b,2,1030,1052,237.16430593776823
020b,2,1052,1051,332.7176278364427
020b,2,1051,1348,444.4269673433962
020b,2,1348,1350,241.67929604436813
020b,2,1350,4213,836.4472120460607
020b,2,4213,4214,352.2766423497692
020b,2,4214,1793,398.4635046124672
020b,2,1793,2082,450.25591985478695
020b,2,2082,2072,547.5636855848265
020b,2,2072,1197,422.4897592242687
020b,2,1197,1198,436.66458924064773
020b,2,1198,1120,519.0724458443246
020b,2,1120,4066,563.3351734829921
020b,2,4066,1307,298.43458576229114
020b,2,1307,1190,393.505513844143
020b,2,1190,1209,375.27209999968363
020b,2,1209,4661B,380.60949826121487
020b,2,4661B,1193,261.0366856986284
020b,2,1193,1194,317.27182749843087
021b,1,3201,3199,401.0863395583586
021b,1,3199,3203,696.3141836296236
021b,1,3203,3204,266.2587518062153
021b,1,3204,3214,638.1630787320912
021b,1,3214,2924,694.7378707720454
021b,1,2924,3361,393.0717947120429
021b,1,3361,3425,230.80630584169376
021b,1,3425,3458,320.8732491488918
021b,1,3458,3466,301.87880237535
021b,1,3466,2695,293.7928104806715
021b,1,2695,3468,362.51809101805975
021b,1,3468,4500,531.4365995945627
021b,1,4500,4505,455.525960107575
021b,1,4505,3904,364.4066428662172
021b,1,3904,3905,423.46735909737527
021b,1,3905,3911,378.2794147093264
021b,1,3911,6454,520.8910612551199
021b,1,6454,1563,229.96389227327927
021b,1,1563,3216,252.03150016966538
021b,1,3216,3707,342.6991987325655
021b,1,3707,1463,355.5329873626888
021b,1,1463,1464,360.7018777045723
021b,1,1464,1270B,341.0658294673249
021b,1,1270B,1476,393.6548004833676
021b,1,1476,1497B,562.6565861082399
021b,1,1497B,1160,194.79063767680054
021b,1,1160,1162C,298.28611253068993
021b,2,1262B,1132,88.50193874713472
021b,2,1132,1133,339.44230900343223
021b,2,1133,1416,314.66741272312083
021b,2,1416,2083,484.51718953843897
021b,2,2083,1402B,277.91670367512666
021b,2,1402B,1419,396.57653545372386
021b,2,1419,1403,168.4531573250208
021b,2,1403,3251,363.22286493417596
021b,2,3251,1516,254.7239592629876
021b,2,1516,6451,232.20815338351804
021b,2,6451,6448,148.8176030639088
021b,2,6448,3956,709.2824768179858
021b,2,3956,3957,478.92536701017025
021b,2,3957,3961,385.09014340622434
021b,2,3961,4558,448.9075458225825
021b,2,4558,4555,506.8619659457454
021b,2,4555,4556,392.95809013217877
021b,2,4556,3450,331.9161742250044
021b,2,3450,3404,242.5561638343088
021b,2,3404,3424,354.3682933163009
021b,2,3424,3306,278.8188614438277
021b,2,3306,3420,298.03189009570906
021b,2,3420,1893,577.4181397605425
021b,2,1893,3279,702.6991164273068
021b,2,3279,3280,404.4438880286343
021b,2,3280,3201,668.2931507378198
025t,1,5451F,5459F,245.81640858555784
025t,1,5459F,5460F,470.82097993780906
025t,1,5460F,5461F,486.9553127252258
025t,1,5461F,5462F,336.3065025751025
025t,1,5462F,5468,212.39454415204932
025t,1,5468,3480,523.7924279064416
025t,1,3480,5264F,235.17542002449136
025t,1,5264F,5261,508.24567229392414
025t,1,5261,5265F,419.79546519446785
025t,1,5265F,5267,332.3269244910166
025t,1,5267,5352,487.45627114179615
025t,1,5352,0906,499.7176417831197
025t,1,0906,0806,452.4066962310235
025t,1,0806,0816,736.6771380809269
025t,1,0816,0826,652.137485515881
025t,1,0826,2241G,862.185055535102
025t,1,2241G,6258,372.5396099075015
025t,1,6258,3308F,532.4450112068553
025t,1,3308F,3309F,471.3561862304723
025t,1,3309F,6419F,530.9870887591496
025t,1,6419F,6260F,219.16060323274905
025t,1,6260F,2726F,411.72082213621616
025t,1,2726F,5714,282.2513060879701
025t,1,5714,0521,620.51645035826
025t,1,0521,0539,463.58894011014854
025t,2,0539,0536,537.9103027729478
025t,2,0536,5762,701.4644582476118
025t,2,5762,2720F,182.45122265335226
025t,2,2720F,6201F,399.6301772125669
